Code,Name,Brand,MAP Price,Warranty,Weight,Stock Level,Product Images,UPC/EAN
AV-WE-P001,"WE Luger P08 4"" Gas Blowback Metal Airsoft Pistol",WE,109.95,30 Day Return & Warranty,3,0,Product Image URL: http://www.airsoftstation.com/product_images/z/260/we-luger-p08-4-gas-blowback-metal-airsoft-pistol-3__38933.jpg|Product Image URL: http://www.airsoftstation.com/product_images/y/366/we-luger-p08-4-gas-blowback-metal-airsoft-pistol-5__66872.jpg|Product Image URL: http://www.airsoftstation.com/product_images/w/750/we-luger-p08-4-gas-blowback-metal-airsoft-pistol-7__22336.jpg|Product Image URL: http://www.airsoftstation.com/product_images/h/344/we-luger-p08-4-gas-blowback-metal-airsoft-pistol-9__36178.jpg|Product Image URL: http://www.airsoftstation.com/product_images/y/225/we-luger-p08-4-gas-blowback-metal-airsoft-pistol-11__55965.jpg,8.19E+11
65082,G&G CM18 MOD1 Two-Tone Black/Tan Powered by Valken V12 Engine,Valken,475,30 Day Return & Warranty,10,0,Product Image URL: http://www.airsoftstation.com/product_images/q/741/g-g-cm18-mod1-two-tone-black-tan-powered-by-valken-v12-engine-2__51265.jpg,
V622162,G&G GP6 II COMBAT-LITE Tape Switch Assembly,G&G,21.2,30 Day Return & Warranty,0.7,0,Product Image URL: http://www.airsoftstation.com/product_images/f/979/g-g-gp6-ii-combat-lite-flash-light-2__10322.jpg,B00E58WU92
GGT-G-07-052,G&G Mock MK-2 Hand Grenade Shaped BB Loader,G&G,6.9,30 Day Return & Warranty,0.3,0,Product Image URL: http://www.airsoftstation.com/product_images/o/843/g-g-mock-mk-2-hand-grenade-shaped-bb-loader-2__56433.jpg,B00E58XL1I
V892012,PolarStar FE Silver AK Nozzle Assembly,PolarStar,20,Parts Return Policy  See Policy Page,0.1,0,Product Image URL: http://www.airsoftstation.com/product_images/r/907/polarstar-fe-silver-ak-nozzle-assembly-2__23795.jpg,
PY-2078,"UHC 4"" inch revolver, Black",UHC,29.95,30 Day Return & Warranty,3,0,Product Image URL: http://www.airsoftstation.com/product_images/l/435/uhc-4-inch-revolver-black-2__18527.jpg,8.71E+11
PY-2094,Classic Army Sportline M15A4 RIS Value Package,Classic Army,183.95,30 Day Return & Warranty,9.5,0,Product Image URL: http://www.airsoftstation.com/product_images/m/966/classic-army-sportline-m15a4-ris-value-package-2__85292.jpg,
ASG-16186,"BB Speedloader & Airsoft Revolver Shells For WG and Dan Wesson CO2 Revolvers, 6 Shells",Dan Wesson,19.5,30 Day Return & Warranty,0.35,5,Product Image URL: http://www.airsoftstation.com/product_images/u/762/yhst-49666507782127_2271_89925045__97412.jpg|Product Image URL: http://www.airsoftstation.com/product_images/x/910/yhst-49666507782127_2271_431833455__79528.jpg,5.71E+12
JP-51MB,Echo 1 Red Star LMG Metal Support Airsoft Rifle,Echo 1,224.95,30 Day Return & Warranty,14,0,Product Image URL: http://www.airsoftstation.com/product_images/u/268/yhst-49666507782127_2271_160372731__08366.jpg|Product Image URL: http://www.airsoftstation.com/product_images/c/110/yhst-49666507782127_2271_447642200__27221.jpg|Product Image URL: http://www.airsoftstation.com/product_images/u/158/yhst-49666507782127_2271_447664448__67581.jpg|Product Image URL: http://www.airsoftstation.com/product_images/w/819/yhst-49666507782127_2271_447686417__48325.jpg|Product Image URL: http://www.airsoftstation.com/product_images/s/696/yhst-49666507782127_2271_447708454__58836.jpg|Product Image URL: http://www.airsoftstation.com/product_images/g/759/yhst-49666507782127_2271_447731879__69633.jpg|Product Image URL: http://www.airsoftstation.com/product_images/d/115/yhst-49666507782127_2271_447754842__87383.jpg|Product Image URL: http://www.airsoftstation.com/product_images/i/068/yhst-49666507782127_2271_447777501__71494.jpg,
GGT-EGC-16P-RDS-BNB-NCM,"G&G CM16 Raider Short Combat Machine Airsoft Rifle, Black",G&G,177,30 Day Return / 60 Day Warranty,9,0,Product Image URL: http://www.airsoftstation.com/product_images/m/772/yhst-49666507782127_2271_165348998__19529.jpg|Product Image URL: http://www.airsoftstation.com/product_images/h/126/yhst-49666507782127_2271_433844467__04276.jpg|Product Image URL: http://www.airsoftstation.com/product_images/n/205/yhst-49666507782127_2271_433867468__57088.jpg|Product Image URL: http://www.airsoftstation.com/product_images/x/124/yhst-49666507782127_2271_433891248__82137.jpg|Product Image URL: http://www.airsoftstation.com/product_images/c/956/yhst-49666507782127_2271_433915458__84001.jpg|Product Image URL: http://www.airsoftstation.com/product_images/s/613/yhst-49666507782127_2271_433942287__32913.jpg|Product Image URL: http://www.airsoftstation.com/product_images/y/044/yhst-49666507782127_2271_433969499__57412.jpg|Product Image URL: http://www.airsoftstation.com/product_images/v/372/yhst-49666507782127_2271_433993268__23249.jpg|Product Image URL: http://www.airsoftstation.com/product_images/s/551/yhst-49666507782127_2271_434016835__77346.jpg|Product Image URL: http://www.airsoftstation.com/product_images/b/281/yhst-49666507782127_2271_434039103__48259.jpg,4.71E+12
